Genome,Cluster
GCF_983010725.1_NOWI19-1_SAMN10351037_MAG_00000119_genomic_100kbp_proxy.fna,2
GCA_035804995.1_ASM3580499v1_genomic_100kbp_proxy.fna,0
GCF_001889625.1_ASM188962v1_genomic_100kbp_proxy.fna,1
GCF_001559975.1_GG12_C01_02_genomic_100kbp_proxy.fna,1
GCF_023612315.1_ASM2361231v1_genomic_100kbp_proxy.fna,0
GCA_055326625.1_ASM5532662v1_genomic_100kbp_proxy.fna,1
GCF_009662455.1_ASM966245v1_genomic_100kbp_proxy.fna,0
GCA_002215485.1_ASM221548v1_genomic_100kbp_proxy.fna,1
GCA_029536975.2_ASM2953697v2_genomic_100kbp_proxy.fna,0
GCA_019599105.1_ASM1959910v1_genomic_100kbp_proxy.fna,1
GCF_012931705.2_ASM1293170v2_genomic_100kbp_proxy.fna,0
GCF_018122465.1_ASM1812246v1_genomic_100kbp_proxy.fna,1
GCA_042789935.1_ASM4278993v1_genomic_100kbp_proxy.fna,1
GCF_002009135.1_ASM200913v1_genomic_100kbp_proxy.fna,0
GCF_050859145.1_ASM5085914v1_genomic_100kbp_proxy.fna,1
GCA_003665355.1_ASM366535v1_genomic_100kbp_proxy.fna,0
GCF_035811175.1_ASM3581117v1_genomic_100kbp_proxy.fna,1
GCF_056489145.1_ASM5648914v1_genomic_100kbp_proxy.fna,0
GCF_002915255.1_ASM291525v1_genomic_100kbp_proxy.fna,0
GCF_026309415.1_ASM2630941v1_genomic_100kbp_proxy.fna,0
GCA_982524965.1_NRS2103_genomic_100kbp_proxy.fna,1
GCA_035814355.1_ASM3581435v1_genomic_100kbp_proxy.fna,0
GCF_009497815.1_ASM949781v1_genomic_100kbp_proxy.fna,1
GCA_001057075.1_ASM105707v1_genomic_100kbp_proxy.fna,0
GCA_037753205.1_ASM3775320v1_genomic_100kbp_proxy.fna,0
GCF_004119615.1_ASM411961v1_genomic_100kbp_proxy.fna,1
GCF_002093785.1_ASM209378v1_genomic_100kbp_proxy.fna,1
GCF_007829445.1_ASM782944v1_genomic_100kbp_proxy.fna,1
GCF_056665445.1_Bac6_genomic_100kbp_proxy.fna,0
GCF_001560165.1_GG12_C01_14_genomic_100kbp_proxy.fna,1
GCA_977010375.1_NRS7979_genomic_100kbp_proxy.fna,1
GCF_020311615.1_ASM2031161v1_genomic_100kbp_proxy.fna,0
GCF_005234095.1_ASM523409v1_genomic_100kbp_proxy.fna,1
GCA_001660605.1_ASM166060v1_genomic_100kbp_proxy.fna,0
GCF_024507895.1_ASM2450789v1_genomic_100kbp_proxy.fna,1
GCA_050475245.1_ASM5047524v1_genomic_100kbp_proxy.fna,0
GCA_019704375.1_ASM1970437v1_genomic_100kbp_proxy.fna,0
GCF_001662955.1_ASM166295v1_genomic_100kbp_proxy.fna,1
GCF_028463925.1_ASM2846392v1_genomic_100kbp_proxy.fna,0
GCF_003833235.1_ASM383323v1_genomic_100kbp_proxy.fna,0
GCA_042262465.1_ASM4226246v1_genomic_100kbp_proxy.fna,0
GCA_000696635.1_ASM69663v1_genomic_100kbp_proxy.fna,0
GCF_977010325.1_NRS7981_genomic_100kbp_proxy.fna,1
GCF_010578135.1_ASM1057813v1_genomic_100kbp_proxy.fna,1
GCF_030123145.1_ASM3012314v1_genomic_100kbp_proxy.fna,1
GCF_056784195.1_ASM5678419v1_genomic_100kbp_proxy.fna,1
GCA_000409585.1_Hal1_genomic_100kbp_proxy.fna,1
GCF_009602405.1_ASM960240v1_genomic_100kbp_proxy.fna,1
GCA_050479905.1_ASM5047990v1_genomic_100kbp_proxy.fna,1
GCF_004103895.1_ASM410389v1_genomic_100kbp_proxy.fna,1
GCF_022700975.1_ASM2270097v1_genomic_100kbp_proxy.fna,0
GCF_056626595.1_ASM5662659v1_genomic_100kbp_proxy.fna,1
GCA_050051215.1_ASM5005121v1_genomic_100kbp_proxy.fna,0
GCA_900604845.1_TTHNAR1_genomic_100kbp_proxy.fna,2
GCF_009017455.1_ASM901745v1_genomic_100kbp_proxy.fna,1
GCA_033100155.1_ASM3310015v1_genomic_100kbp_proxy.fna,0
GCF_051132585.1_ASM5113258v1_genomic_100kbp_proxy.fna,1
GCA_035805095.1_ASM3580509v1_genomic_100kbp_proxy.fna,1
GCA_014389245.2_ASM1438924v2_genomic_100kbp_proxy.fna,0
GCA_029537075.2_ASM2953707v2_genomic_100kbp_proxy.fna,0
GCF_905311015.1_NRS6094_genomic_100kbp_proxy.fna,0
GCA_035808995.1_ASM3580899v1_genomic_100kbp_proxy.fna,0
GCF_004103595.1_ASM410359v1_genomic_100kbp_proxy.fna,1
GCA_009913255.1_ASM991325v1_genomic_100kbp_proxy.fna,0
GCF_035809495.1_ASM3580949v1_genomic_100kbp_proxy.fna,1
GCF_030016565.1_ASM3001656v1_genomic_100kbp_proxy.fna,0
GCF_055455675.1_ASM5545567v1_genomic_100kbp_proxy.fna,1
GCA_030016605.1_ASM3001660v1_genomic_100kbp_proxy.fna,0
GCA_001560555.1_NG05B_C06_13_genomic_100kbp_proxy.fna,1
GCF_001876515.1_ASM187651v1_genomic_100kbp_proxy.fna,0
GCA_059801065.1_ASM5980106v1_genomic_100kbp_proxy.fna,1
GCA_042737995.1_ASM4273799v1_genomic_100kbp_proxy.fna,0
GCA_036219385.1_ASM3621938v1_genomic_100kbp_proxy.fna,1
GCF_054850485.1_ASM5485048v1_genomic_100kbp_proxy.fna,1
GCF_007829655.1_ASM782965v1_genomic_100kbp_proxy.fna,1
GCF_059820085.1_ASM5982008v1_genomic_100kbp_proxy.fna,1
GCA_905315045.2_NRS6127B_genomic_100kbp_proxy.fna,0
GCA_037094855.1_ASM3709485v1_genomic_100kbp_proxy.fna,0
GCA_005160425.1_ASM516042v1_genomic_100kbp_proxy.fna,0
GCA_036621535.1_ASM3662153v1_genomic_100kbp_proxy.fna,1
GCA_019969135.1_ASM1996913v1_genomic_100kbp_proxy.fna,0
GCA_003265725.1_ASM326572v1_genomic_100kbp_proxy.fna,0
GCF_022846335.1_ASM2284633v1_genomic_100kbp_proxy.fna,2
GCF_905315015.2_NRS6132B_genomic_100kbp_proxy.fna,0
GCA_007050065.1_ASM705006v1_genomic_100kbp_proxy.fna,1
GCA_042801255.1_ASM4280125v1_genomic_100kbp_proxy.fna,0
GCF_905312035.2_NRS6120B_genomic_100kbp_proxy.fna,1
GCA_019704415.1_ASM1970441v1_genomic_100kbp_proxy.fna,0
GCF_052976505.1_ASM5297650v1_genomic_100kbp_proxy.fna,1
GCA_002322735.1_ASM232273v1_genomic_100kbp_proxy.fna,0
GCA_035823895.1_ASM3582389v1_genomic_100kbp_proxy.fna,1
GCF_003610955.1_ASM361095v1_genomic_100kbp_proxy.fna,0
GCF_000982455.1_ASM98245v1_genomic_100kbp_proxy.fna,1
GCF_046592575.1_ASM4659257v1_genomic_100kbp_proxy.fna,0
GCF_051966295.1_ASM5196629v1_genomic_100kbp_proxy.fna,1
GCA_000497365.1_MP11_genomic_100kbp_proxy.fna,1
GCF_039880445.1_ASM3988044v1_genomic_100kbp_proxy.fna,0
GCF_977010355.1_NRS8001_genomic_100kbp_proxy.fna,0
GCA_028541305.1_ASM2854130v1_genomic_100kbp_proxy.fna,0
GCA_036222845.1_ASM3622284v1_genomic_100kbp_proxy.fna,1
GCF_053819085.1_ASM5381908v1_genomic_100kbp_proxy.fna,1
GCA_050478005.1_ASM5047800v1_genomic_100kbp_proxy.fna,0
GCF_053291885.1_ASM5329188v1_genomic_100kbp_proxy.fna,1
GCF_037095795.1_ASM3709579v1_genomic_100kbp_proxy.fna,0
GCF_003931545.1_ASM393154v1_genomic_100kbp_proxy.fna,0
GCF_982518415.1_NRS2131_genomic_100kbp_proxy.fna,1
GCF_053895445.1_ASM5389544v1_genomic_100kbp_proxy.fna,1
GCF_041023695.1_ASM4102369v1_genomic_100kbp_proxy.fna,1
GCF_052546035.1_ASM5254603v1_genomic_100kbp_proxy.fna,0
GCF_051133315.1_ASM5113331v1_genomic_100kbp_proxy.fna,1
GCA_000507005.1_PTS394_genomic_100kbp_proxy.fna,0
GCF_055378645.1_ASM5537864v1_genomic_100kbp_proxy.fna,1
GCF_040819575.1_ASM4081957v1_genomic_100kbp_proxy.fna,0
GCA_009662155.1_ASM966215v1_genomic_100kbp_proxy.fna,1
GCA_030438175.1_ASM3043817v1_genomic_100kbp_proxy.fna,0
GCF_001996305.1_ASM199630v1_genomic_100kbp_proxy.fna,0
GCF_023714065.1_ASM2371406v1_genomic_100kbp_proxy.fna,0
GCA_042667955.1_ASM4266795v1_genomic_100kbp_proxy.fna,0
GCF_031326005.1_ASM3132600v1_genomic_100kbp_proxy.fna,1
GCA_004366695.1_ASM436669v1_genomic_100kbp_proxy.fna,1
GCA_003052465.1_ASM305246v1_genomic_100kbp_proxy.fna,1
GCF_018454405.1_ASM1845440v1_genomic_100kbp_proxy.fna,0
GCA_031316445.1_ASM3131644v1_genomic_100kbp_proxy.fna,1
GCF_035804375.1_ASM3580437v1_genomic_100kbp_proxy.fna,1
GCA_000769515.1_ASM76951v1_genomic_100kbp_proxy.fna,1
GCF_982518525.1_NRS2135_genomic_100kbp_proxy.fna,1
GCA_001560085.1_GG12_C01_10_genomic_100kbp_proxy.fna,1
GCA_003665215.1_ASM366521v1_genomic_100kbp_proxy.fna,1
GCA_051965795.1_ASM5196579v1_genomic_100kbp_proxy.fna,1
GCF_008131765.1_ASM813176v1_genomic_100kbp_proxy.fna,1
GCF_003327665.1_ASM332766v1_genomic_100kbp_proxy.fna,0
GCF_055793405.1_ASM5579340v1_genomic_100kbp_proxy.fna,0
GCA_022846295.1_ASM2284629v1_genomic_100kbp_proxy.fna,2
GCA_001560285.1_GG12_C01_21_genomic_100kbp_proxy.fna,1
GCA_052119875.1_ASM5211987v1_genomic_100kbp_proxy.fna,1
GCA_042792695.1_ASM4279269v1_genomic_100kbp_proxy.fna,0
GCF_001876645.1_ASM187664v1_genomic_100kbp_proxy.fna,0
GCF_001560765.1_NG05B_CO5_12_genomic_100kbp_proxy.fna,1
GCA_046529445.1_ASM4652944v1_genomic_100kbp_proxy.fna,1
GCA_035812315.1_ASM3581231v1_genomic_100kbp_proxy.fna,1
GCA_050455625.1_ASM5045562v1_genomic_100kbp_proxy.fna,0
GCF_049801195.1_ASM4980119v1_genomic_100kbp_proxy.fna,0
GCA_040712175.1_JM553_genomic_100kbp_proxy.fna,0
GCA_044544945.1_ASM4454494v1_genomic_100kbp_proxy.fna,1
GCA_007679335.1_ASM767933v1_genomic_100kbp_proxy.fna,1
GCA_052037815.2_ASM5203781v2_genomic_100kbp_proxy.fna,0
GCA_056855675.1_ASM5685567v1_genomic_100kbp_proxy.fna,1
GCA_049200355.1_ASM4920035v1_genomic_100kbp_proxy.fna,1
GCF_055817975.1_ASM5581797v1_genomic_100kbp_proxy.fna,1
GCA_041385545.1_ASM4138554v1_genomic_100kbp_proxy.fna,0
GCA_057371115.1_ASM5737111v1_genomic_100kbp_proxy.fna,0
GCA_041949775.1_ASM4194977v1_genomic_100kbp_proxy.fna,1
GCA_035822815.1_ASM3582281v1_genomic_100kbp_proxy.fna,1
GCF_019974355.1_ASM1997435v1_genomic_100kbp_proxy.fna,2
GCA_029762215.2_ASM2976221v2_genomic_100kbp_proxy.fna,0
GCA_050474985.1_ASM5047498v1_genomic_100kbp_proxy.fna,0
GCA_035822435.1_ASM3582243v1_genomic_100kbp_proxy.fna,1
GCA_028540385.1_ASM2854038v1_genomic_100kbp_proxy.fna,1
GCF_021498185.1_ASM2149818v1_genomic_100kbp_proxy.fna,1
GCF_001541905.1_ASM154190v1_genomic_100kbp_proxy.fna,0
GCA_024799885.1_ASM2479988v1_genomic_100kbp_proxy.fna,1
GCF_035812075.1_ASM3581207v1_genomic_100kbp_proxy.fna,1
GCA_008682315.1_ASM868231v1_genomic_100kbp_proxy.fna,1
GCF_034440835.1_ASM3444083v1_genomic_100kbp_proxy.fna,1
GCF_041862035.1_ASM4186203v1_genomic_100kbp_proxy.fna,0
GCA_028807035.1_ASM2880703v1_genomic_100kbp_proxy.fna,0
GCF_980644365.1_23FF4-BHI-04_genomic_100kbp_proxy.fna,0
GCA_036966285.1_ASM3696628v1_genomic_100kbp_proxy.fna,1
GCA_037742535.1_ASM3774253v1_genomic_100kbp_proxy.fna,1
GCA_049852155.1_ASM4985215v1_genomic_100kbp_proxy.fna,1
GCF_035813215.1_ASM3581321v1_genomic_100kbp_proxy.fna,1
GCA_046529465.1_ASM4652946v1_genomic_100kbp_proxy.fna,1
GCA_035812335.1_ASM3581233v1_genomic_100kbp_proxy.fna,0
GCA_050455605.1_ASM5045560v1_genomic_100kbp_proxy.fna,1
GCF_039581705.1_ASM3958170v1_genomic_100kbp_proxy.fna,0
GCA_030847885.1_ASM3084788v1_genomic_100kbp_proxy.fna,1
GCA_044544965.1_ASM4454496v1_genomic_100kbp_proxy.fna,0
GCF_035822775.1_ASM3582277v1_genomic_100kbp_proxy.fna,0
GCA_052037835.2_ASM5203783v2_genomic_100kbp_proxy.fna,1
GCF_024802585.1_ASM2480258v1_genomic_100kbp_proxy.fna,1
GCA_060246355.1_ASM6024635v1_genomic_100kbp_proxy.fna,0
GCF_052037775.2_ASM5203777v2_genomic_100kbp_proxy.fna,1
GCA_051966315.1_ASM5196631v1_genomic_100kbp_proxy.fna,1
GCF_000827065.1_ASM82706v1_genomic_100kbp_proxy.fna,1
GCF_019974375.1_ASM1997437v1_genomic_100kbp_proxy.fna,2
GCA_050480105.1_ASM5048010v1_genomic_100kbp_proxy.fna,0
GCA_000012285.1_ASM1228v1_genomic_100kbp_proxy.fna,1
GCF_036213085.1_ASM3621308v1_genomic_100kbp_proxy.fna,1
GCA_035822415.1_ASM3582241v1_genomic_100kbp_proxy.fna,0
GCF_905315385.1_NRS6137_genomic_100kbp_proxy.fna,0
GCA_977010965.1_NRS8005_genomic_100kbp_proxy.fna,1
GCF_052806235.1_ASM5280623v1_genomic_100kbp_proxy.fna,0
GCA_054552615.1_ASM5455261v1_genomic_100kbp_proxy.fna,0
GCA_905311005.1_NRS6092_genomic_100kbp_proxy.fna,1
GCA_983009985.1_NOWI19-1_SAMN10351047_MAG_00000013_genomic_100kbp_proxy.fna,2
GCF_035805115.1_ASM3580511v1_genomic_100kbp_proxy.fna,0
GCA_042899545.1_ASM4289954v1_genomic_100kbp_proxy.fna,1
GCA_003762825.1_ASM376282v1_genomic_100kbp_proxy.fna,0
GCA_982989575.1_NOWI19-1_SAMN09201604_MAG_00000005_genomic_100kbp_proxy.fna,2
GCF_025502505.1_ASM2550250v1_genomic_100kbp_proxy.fna,0
GCA_008017615.1_ASM801761v1_genomic_100kbp_proxy.fna,0
GCA_003665275.1_ASM366527v1_genomic_100kbp_proxy.fna,1
GCA_042264405.1_ASM4226440v1_genomic_100kbp_proxy.fna,0
GCA_023521595.1_ASM2352159v1_genomic_100kbp_proxy.fna,1
GCA_024508195.1_ASM2450819v1_genomic_100kbp_proxy.fna,1
GCA_035811795.1_ASM3581179v1_genomic_100kbp_proxy.fna,0
GCF_024917115.1_ASM2491711v1_genomic_100kbp_proxy.fna,1
GCF_002925885.1_ASM292588v1_genomic_100kbp_proxy.fna,0
GCA_049942295.1_ASM4994229v1_genomic_100kbp_proxy.fna,1
GCF_012222305.1_ASM1222230v1_genomic_100kbp_proxy.fna,1
GCF_018530835.1_ASM1853083v1_genomic_100kbp_proxy.fna,1
GCF_035809065.1_ASM3580906v1_genomic_100kbp_proxy.fna,1
GCF_054055415.1_ASM5405541v1_genomic_100kbp_proxy.fna,1
GCA_054061355.1_ASM5406135v1_genomic_100kbp_proxy.fna,1
GCF_014856585.1_ASM1485658v1_genomic_100kbp_proxy.fna,0
GCF_035804355.1_ASM3580435v1_genomic_100kbp_proxy.fna,1
GCA_025367415.1_ASM2536741v1_genomic_100kbp_proxy.fna,1
GCA_051028965.1_ASM5102896v1_genomic_100kbp_proxy.fna,1
GCA_018603715.1_ASM1860371v1_genomic_100kbp_proxy.fna,0
GCF_001560465.1_NG05B_C06_06_genomic_100kbp_proxy.fna,1
GCF_035812295.1_ASM3581229v1_genomic_100kbp_proxy.fna,0
GCA_010634645.1_ASM1063464v1_genomic_100kbp_proxy.fna,0
GCA_042793635.1_ASM4279363v1_genomic_100kbp_proxy.fna,0
GCA_001286865.1_Bacillus_JRS6_genomic_100kbp_proxy.fna,1
GCF_022846315.1_ASM2284631v1_genomic_100kbp_proxy.fna,2
GCF_046567585.1_ASM4656758v1_genomic_100kbp_proxy.fna,1
GCF_051487275.1_ASM5148727v1_genomic_100kbp_proxy.fna,0
GCA_022097155.1_ASM2209715v1_genomic_100kbp_proxy.fna,1
GCA_060371815.1_ASM6037181v1_genomic_100kbp_proxy.fna,0
GCF_010578065.1_ASM1057806v1_genomic_100kbp_proxy.fna,1
GCF_044758945.1_CEL_genomic_100kbp_proxy.fna,1
GCA_056377955.1_ASM5637795v1_genomic_100kbp_proxy.fna,1
GCF_050113355.1_ASM5011335v1_genomic_100kbp_proxy.fna,0
GCF_000878265.1_ASM87826v1_genomic_100kbp_proxy.fna,1
GCA_051486545.1_ASM5148654v1_genomic_100kbp_proxy.fna,1
GCF_050846915.1_ASM5084691v1_genomic_100kbp_proxy.fna,0
GCA_045277765.1_ASM4527776v1_genomic_100kbp_proxy.fna,1
GCF_052037995.2_ASM5203799v2_genomic_100kbp_proxy.fna,1
GCF_036213455.1_ASM3621345v1_genomic_100kbp_proxy.fna,1
GCA_042797535.1_ASM4279753v1_genomic_100kbp_proxy.fna,1
GCA_010614785.1_ASM1061478v1_genomic_100kbp_proxy.fna,0
GCA_019704435.1_ASM1970443v1_genomic_100kbp_proxy.fna,1
GCA_042668875.1_ASM4266887v1_genomic_100kbp_proxy.fna,0
GCA_000737405.1_ASM73740v1_genomic_100kbp_proxy.fna,0
GCA_036213125.1_ASM3621312v1_genomic_100kbp_proxy.fna,1
GCA_001717105.1_ASM171710v1_genomic_100kbp_proxy.fna,0
GCA_051935865.1_ASM5193586v1_genomic_100kbp_proxy.fna,0
GCF_015645665.1_ASM1564566v1_genomic_100kbp_proxy.fna,1
GCA_042668245.1_ASM4266824v1_genomic_100kbp_proxy.fna,0
GCF_030122865.1_ASM3012286v1_genomic_100kbp_proxy.fna,1
GCA_028541325.1_ASM2854132v1_genomic_100kbp_proxy.fna,1
GCA_001560815.1_NG05B_CO5_14_genomic_100kbp_proxy.fna,1
GCA_050051235.1_ASM5005123v1_genomic_100kbp_proxy.fna,0
GCA_007679005.1_ASM767900v1_genomic_100kbp_proxy.fna,1
GCA_905315055.2_NRS6128B_genomic_100kbp_proxy.fna,1
GCA_050462445.1_ASM5046244v1_genomic_100kbp_proxy.fna,0
GCA_980653625.1_FF9-DPCBA-3_genomic_100kbp_proxy.fna,1
GCF_042860965.1_ASM4286096v1_genomic_100kbp_proxy.fna,1
GCA_029537055.2_ASM2953705v2_genomic_100kbp_proxy.fna,1
GCF_002835225.1_ASM283522v1_genomic_100kbp_proxy.fna,0
GCA_012935335.1_ASM1293533v1_genomic_100kbp_proxy.fna,1
GCA_013266935.1_ASM1326693v1_genomic_100kbp_proxy.fna,1
GCF_011456075.1_ASM1145607v1_genomic_100kbp_proxy.fna,0
GCA_050463605.1_ASM5046360v1_genomic_100kbp_proxy.fna,1
GCF_018122535.1_ASM1812253v1_genomic_100kbp_proxy.fna,0
GCA_059772135.1_ASM5977213v1_genomic_100kbp_proxy.fna,1
GCA_046599185.1_De_novo_genomic_100kbp_proxy.fna,1
GCF_051174795.1_ASM5117479v1_genomic_100kbp_proxy.fna,0
GCF_059498445.1_ASM5949844v1_genomic_100kbp_proxy.fna,0
GCF_007182855.1_ASM718285v1_genomic_100kbp_proxy.fna,2
GCA_053606185.1_ASM5360618v1_genomic_100kbp_proxy.fna,1
GCA_050478745.1_ASM5047874v1_genomic_100kbp_proxy.fna,0
GCA_982999305.1_NOWI19-1_SAMN10350896_MAG_00000061_genomic_100kbp_proxy.fna,2
GCA_982518335.1_NRS6136_genomic_100kbp_proxy.fna,0
GCA_053617335.1_ASM5361733v1_genomic_100kbp_proxy.fna,0
GCA_001703495.1_ASM170349v1_genomic_100kbp_proxy.fna,1
GCA_977570335.1_MarMAG_099624_genomic_100kbp_proxy.fna,2
GCF_003833255.1_ASM383325v1_genomic_100kbp_proxy.fna,0
GCA_001560125.1_GG12_C01_12_genomic_100kbp_proxy.fna,1
GCF_053709215.1_ASM5370921v1_genomic_100kbp_proxy.fna,0
GCF_025426155.1_ASM2542615v1_genomic_100kbp_proxy.fna,1
GCA_001698485.1_ASM169848v1_genomic_100kbp_proxy.fna,0
GCA_019704355.1_ASM1970435v1_genomic_100kbp_proxy.fna,1
GCA_051908735.1_ASM5190873v1_genomic_100kbp_proxy.fna,1
GCA_041344815.1_ASM4134481v1_genomic_100kbp_proxy.fna,1
GCA_056110565.1_ASM5611056v1_genomic_100kbp_proxy.fna,1
GCF_001625135.1_ASM162513v1_genomic_100kbp_proxy.fna,0
GCA_002799585.1_ASM279958v1_genomic_100kbp_proxy.fna,0
GCF_025767725.1_ASM2576772v1_genomic_100kbp_proxy.fna,0
GCF_012030675.1_ASM1203067v1_genomic_100kbp_proxy.fna,1
GCA_040270045.1_ASM4027004v1_genomic_100kbp_proxy.fna,0
GCA_042887785.1_ASM4288778v1_genomic_100kbp_proxy.fna,1
GCF_004119675.1_ASM411967v1_genomic_100kbp_proxy.fna,1
GCF_022700955.1_ASM2270095v1_genomic_100kbp_proxy.fna,0
GCA_982518365.1_NRS6133_genomic_100kbp_proxy.fna,1
GCA_000830605.1_ASM83060v1_genomic_100kbp_proxy.fna,0
GCA_035804595.1_ASM3580459v1_genomic_100kbp_proxy.fna,1
GCF_046591695.1_ASM4659169v1_genomic_100kbp_proxy.fna,1
GCA_034555075.1_ASM3455507v1_genomic_100kbp_proxy.fna,0
GCA_009497795.1_ASM949779v1_genomic_100kbp_proxy.fna,1
GCF_002272405.1_assembly-7702_v1_genomic_100kbp_proxy.fna,1
GCF_003336815.1_ASM333681v1_genomic_100kbp_proxy.fna,0
GCA_035811235.1_ASM3581123v1_genomic_100kbp_proxy.fna,0
GCA_003665335.1_ASM366533v1_genomic_100kbp_proxy.fna,1
GCA_052535495.1_ASM5253549v1_genomic_100kbp_proxy.fna,0
GCA_013267035.1_ASM1326703v1_genomic_100kbp_proxy.fna,0
GCA_050908245.1_ASM5090824v1_genomic_100kbp_proxy.fna,0
GCF_018122445.1_ASM1812244v1_genomic_100kbp_proxy.fna,1
GCA_030662185.1_ASM3066218v1_genomic_100kbp_proxy.fna,1
GCF_002173615.1_ASM217361v1_genomic_100kbp_proxy.fna,1
GCA_015844635.1_ASM1584463v1_genomic_100kbp_proxy.fna,1
GCF_041080715.1_ASM4108071v1_genomic_100kbp_proxy.fna,0
GCF_001043765.1_ASM104376v1_genomic_100kbp_proxy.fna,1
GCF_009662435.1_ASM966243v1_genomic_100kbp_proxy.fna,1
GCA_000186745.1_ASM18674v1_genomic_100kbp_proxy.fna,0
GCF_982525005.1_NRS2108_genomic_100kbp_proxy.fna,1
GCF_055326565.1_ASM5532656v1_genomic_100kbp_proxy.fna,1
GCF_057162945.1_ASM5716294v1_genomic_100kbp_proxy.fna,0
GCF_045343855.1_ASM4534385v1_genomic_100kbp_proxy.fna,1
GCA_044546015.1_ASM4454601v1_genomic_100kbp_proxy.fna,0
GCF_022647025.1_ASM2264702v1_genomic_100kbp_proxy.fna,0
GCA_000740475.1_ASM74047v1_genomic_100kbp_proxy.fna,0
GCA_025728295.1_ASM2572829v1_genomic_100kbp_proxy.fna,0
GCA_028806935.1_ASM2880693v1_genomic_100kbp_proxy.fna,0
GCF_040278585.1_ASM4027858v1_genomic_100kbp_proxy.fna,1
GCA_050468365.1_ASM5046836v1_genomic_100kbp_proxy.fna,0
GCA_012689485.1_ASM1268948v1_genomic_100kbp_proxy.fna,1
